Academic_Level,Income,Registration_Time,Recency,Liquor,Vegetables,Pork,Seafood,Candy,Jewellery,Num_Deals_Purchases,Num_Web_Purchases,Num_Catalog_Purchases,Num_Store_Purchases,Num_Web_Visits_Month,Promo_30,Promo_40,Promo_50,Promo_10,Promo_20,Complain,Gender,Total_Purchase,Payment_Method,Age,Total_Spending,Marital_Status,Num_Of_Child
Master,98777,17-02-2023,23,1001,21,711,125,115,38,0,4,6,9,1,0,-1,0,0,0,0,Male,19,Cash,30,2011,Single,0
Master,17459,19-09-2022,12,7,6,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,Female,9,Not Provided,42,72,Together,1
Graduation,34853,23-12-2022,75,10,5,15,2,3,2,2,2,0,3,6,0,0,0,0,0,0,Male,7,Card,38,37,Single,2
Graduation,70713,03-12-2021,23,737,116,279,82,76,190,6,5,6,8,3,0,-1,0,0,0,0,Other,25,Cash,44,1480,Together,1
Graduation,80695,29-12-2022,85,558,131,984,193,37,18,1,5,8,5,2,0,-1,0,0,0,0,Male,19,Mobile,39,1921,Single,0
Graduation,79823,31-03-2023,6,836,75,380,114,73,43,1,6,9,7,2,0,-1,0,0,0,0,Male,23,Online,37,1521,Married,1
Graduation,93790,12-02-2023,16,1303,70,731,89,114,45,0,6,7,12,2,0,0,0,1,0,0,Other,25,Mobile,40,2352,Single,0
Graduation,80317,20-08-2022,64,537,13,387,149,91,57,1,3,4,10,1,0,-1,0,0,0,0,Female,18,Online,33,1234,Single,0
Graduation,34824,26-03-2023,65,5,4,11,2,0,4,1,1,0,2,6,0,-1,0,0,0,0,Other,4,Mobile,34,26,Single,0
Graduation,26759,07-02-2023,65,26,5,16,8,5,2,2,2,1,3,6,0,-1,0,0,0,0,Female,8,Not Provided,42,62,Divorced,1
Graduation,63693,14-10-2022,63,588,45,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,Female,29,Not Provided,37,1153,Divorced,1
Graduation,73926,02-03-2022,54,628,93,597,159,91,15,1,6,5,12,3,0,0,0,0,0,0,Female,24,Not Provided,42,1583,Together,0
Graduation,62807,31-08-2021,83,527,30,135,10,21,99,3,5,3,12,5,0,-1,0,0,0,0,Female,23,Online,37,822,Together,1
PhD,61996,31-01-2022,27,1051,14,144,0,0,24,3,6,4,8,5,0,0,1,1,1,0,Female,21,Mobile,30,1233,Married,1
Master,49605,21-06-2023,65,43,18,29,12,20,8,1,2,1,4,3,0,-1,0,0,0,0,Female,8,Card,43,130,Married,0
2n Cycle,57937,16-02-2023,56,262,44,144,55,48,133,3,4,4,9,3,0,0,0,0,0,0,Male,20,Card,47,686,Married,1
Graduation,20518,18-05-2023,58,5,3,6,4,1,9,1,1,1,2,5,0,-1,0,0,0,0,Female,5,Cash,45,28,Single,1
2n Cycle,30753,11-07-2022,85,13,7,25,0,9,30,2,1,1,3,5,0,-1,0,0,0,0,Male,7,Cash,38,84,Together,2
Master,70379,03-03-2022,84,554,27,142,65,67,8,3,6,3,13,4,0,0,0,0,0,0,Male,25,Mobile,30,863,Single,1
Graduation,67046,06-01-2022,92,545,37,133,23,151,107,2,4,5,4,2,0,0,0,0,0,0,Female,15,Card,34,996,Widow,1
Master,52973,08-11-2021,92,857,2,76,12,9,199,7,9,6,9,8,0,0,0,0,0,0,Other,31,Not Provided,36,1155,Married,1
Master,42386,13-01-2022,43,66,6,16,0,4,11,1,3,0,3,8,0,-1,0,0,0,0,Other,7,Cash,41,103,Together,1
2n Cycle,62972,03-08-2021,39,314,17,47,20,0,192,2,7,4,3,6,0,-1,0,0,0,0,Other,16,Mobile,33,590,Married,1
Graduation,64795,17-01-2022,23,413,7,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,Other,21,Card,47,683,Married,1
Master,70893,06-02-2022,42,769,46,561,77,44,14,1,6,6,10,3,0,-1,0,0,0,0,Other,23,Not Provided,35,1511,Single,0
Graduation,62450,06-01-2023,61,516,49,267,62,66,38,2,5,5,4,3,0,0,0,0,0,0,Other,16,Card,39,998,Single,1
Graduation,23957,28-10-2021,47,3,3,18,20,11,16,1,2,0,3,6,0,-1,0,0,0,0,Female,6,Cash,32,71,Married,1
Graduation,22419,18-04-2022,74,31,5,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,Female,8,Card,43,165,Married,0
Graduation,38988,20-08-2021,90,165,26,103,12,3,42,7,5,1,6,8,0,-1,0,0,0,0,Male,19,Not Provided,34,351,Married,3
Graduation,30675,12-11-2021,14,11,4,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,Other,5,Not Provided,40,65,Married,1
Graduation,84196,03-06-2022,56,216,65,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,Other,20,Not Provided,39,1240,Single,1
2n Cycle,7500,01-08-2021,98,6,19,17,13,14,34,4,2,1,3,9,0,0,0,0,0,0,Other,10,Not Provided,37,103,Together,1
Graduation,75236,25-11-2022,27,439,68,400,12,38,114,1,8,3,13,4,0,-1,0,0,0,0,Other,25,Online,40,1071,Married,1
Graduation,63810,11-11-2021,45,978,14,253,16,12,101,4,4,3,12,8,0,-1,0,0,0,0,Male,23,Cash,26,1374,Single,1
Master,42386,13-01-2022,43,66,6,16,0,4,11,1,3,0,3,8,0,-1,0,0,0,0,Female,7,Not Provided,29,103,Together,1
Graduation,51876,15-10-2022,88,100,29,102,28,48,6,1,2,2,8,1,0,-1,0,0,0,0,Female,13,Card,24,313,Married,0
Graduation,87771,22-05-2022,61,1493,40,287,50,57,33,1,5,10,4,6,0,-1,1,1,1,0,Other,20,Mobile,38,1960,Together,1
Master,33316,04-10-2022,34,80,3,31,4,4,12,3,2,1,4,6,0,-1,0,0,0,0,Female,10,Card,43,134,Single,2
Graduation,71163,09-03-2023,30,284,19,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,Male,24,Online,35,963,Single,0
Graduation,54591,05-08-2022,63,377,6,94,12,9,24,3,6,2,8,5,0,0,0,0,0,0,Other,19,Not Provided,33,522,Together,1
Graduation,62187,05-07-2022,49,793,2,275,45,45,126,1,4,8,5,3,0,-1,0,0,0,0,Male,18,Cash,35,1286,Married,0
Graduation,60934,17-01-2023,41,225,157,155,192,93,54,2,6,4,11,4,0,0,0,0,0,0,Male,23,Cash,28,876,Together,1
PhD,23091,28-05-2023,98,36,2,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,Male,10,Not Provided,33,51,Single,2
PhD,48918,12-04-2023,21,53,2,9,0,0,1,2,1,0,4,4,0,-1,0,0,0,0,Female,7,Cash,41,65,Single,2
Master,27590,23-04-2022,38,7,2,5,0,0,1,1,1,0,2,7,0,0,0,0,0,0,Female,4,Online,37,15,Together,1
Graduation,49160,20-10-2022,29,123,23,43,25,10,15,2,3,1,6,6,0,-1,0,0,0,0,Female,12,Not Provided,48,239,Divorced,1
Graduation,64497,10-09-2021,17,1171,50,320,42,32,192,5,11,4,9,8,1,-1,0,0,0,0,Male,29,Not Provided,34,1807,Divorced,1
PhD,77766,22-02-2022,97,1005,61,265,115,59,27,2,11,10,11,6,1,1,0,0,0,0,Female,34,Mobile,43,1532,Married,1
PhD,65808,30-05-2023,1,156,9,80,13,7,10,3,5,1,5,6,0,-1,0,0,0,0,Other,14,Cash,40,275,Divorced,2
Master,75154,04-09-2021,79,544,12,205,160,143,82,1,6,3,6,3,0,0,0,0,0,0,Female,16,Online,42,1146,Single,1
2n Cycle,34984,06-09-2021,40,9,6,15,3,5,3,2,1,0,3,7,0,-1,0,0,0,0,Female,6,Mobile,37,41,Together,2
PhD,68805,17-09-2022,73,183,4,49,17,13,20,1,3,1,7,2,0,-1,0,0,0,0,Female,12,Not Provided,45,286,Divorced,1
Graduation,21994,24-12-2021,4,10,2,6,3,1,3,1,0,0,3,5,0,-1,0,0,0,0,Other,4,Online,40,25,Together,1
Master,47353,13-11-2022,93,185,4,19,8,8,4,3,2,2,6,5,0,-1,0,0,0,0,Female,13,Mobile,46,228,Married,1
Master,29543,01-04-2023,47,18,5,18,3,4,18,2,3,1,2,7,0,-1,0,0,0,0,Female,8,Not Provided,40,66,Married,2
Graduation,82014,20-08-2021,48,981,39,265,35,163,31,1,3,6,12,6,0,0,0,0,0,0,Other,22,Not Provided,33,1514,Single,0
Master,86424,05-04-2023,12,388,70,569,89,45,68,1,6,9,12,1,0,-1,0,0,0,0,Female,28,Card,37,1229,Single,0
Graduation,30261,25-09-2021,75,9,2,5,0,3,6,1,0,0,3,8,0,0,0,0,0,0,Male,4,Cash,43,25,Together,3
PhD,37717,23-11-2021,31,10,2,6,4,1,5,1,1,0,2,9,0,-1,0,0,0,0,Male,4,Card,40,28,Married,1
PhD,68397,17-11-2022,6,761,82,466,17,13,80,1,6,9,5,3,0,-1,0,0,0,0,Male,21,Cash,47,1419,Married,1
Graduation,52074,04-04-2023,77,60,2,12,0,0,48,1,2,2,2,4,1,1,0,0,0,0,Other,7,Mobile,37,122,Single,1
Graduation,71626,01-11-2021,94,547,74,376,94,145,72,1,5,5,8,3,0,-1,0,0,0,0,Male,19,Not Provided,39,1308,Married,0
2n Cycle,31086,04-05-2022,79,17,4,11,3,0,16,2,1,1,2,8,1,-1,0,0,0,0,Other,6,Not Provided,37,51,Married,2
Graduation,58512,19-09-2022,25,896,12,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,Female,20,Online,38,1174,Married,1
Graduation,56181,08-01-2022,6,122,105,69,8,44,48,1,4,2,7,4,0,-1,0,0,0,0,Male,14,Online,43,396,Married,1
Graduation,46984,26-03-2022,71,20,3,10,2,1,8,1,1,0,3,5,0,0,0,0,0,0,Male,5,Online,37,44,Widow,2
Graduation,28359,27-10-2022,35,7,2,5,2,1,2,1,1,0,2,7,0,-1,0,0,0,0,Female,4,Card,28,19,Together,1
Graduation,38547,28-08-2022,49,7,3,10,0,1,4,1,1,0,2,8,0,-1,0,0,0,1,Male,4,Mobile,42,25,Together,1
Basic,27190,15-08-2022,13,2,8,7,0,1,3,1,1,0,2,8,1,-1,0,0,0,0,Male,4,Online,36,21,Together,1
Graduation,44078,19-06-2023,17,25,3,10,2,0,4,2,2,0,3,5,0,-1,0,0,0,0,Other,7,Mobile,44,44,Married,2
2n Cycle,81975,05-01-2022,2,984,78,184,180,138,27,1,6,3,4,7,0,-1,0,0,0,0,Male,14,Cash,38,1591,Divorced,1
Graduation,55686,14-02-2022,27,674,2,199,37,47,26,2,6,3,5,4,1,1,0,0,0,0,Other,16,Online,36,985,Divorced,1
Graduation,53790,06-03-2023,86,336,44,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,Other,20,Mobile,36,545,Married,2
Graduation,43462,12-09-2021,50,91,19,97,15,6,15,6,4,1,5,8,0,-1,0,0,0,0,Male,16,Online,36,243,Together,2
Master,64857,23-11-2021,78,557,16,717,210,0,43,1,7,5,10,4,0,-1,0,0,0,0,Male,23,Mobile,41,1543,Single,0
Master,61346,06-10-2022,34,563,60,168,43,16,142,1,5,7,10,3,0,0,0,0,0,0,Female,23,Card,34,992,Together,1
PhD,52614,01-12-2021,63,790,2,142,12,9,38,2,2,4,8,8,0,-1,0,0,0,0,Male,16,Not Provided,33,993,Single,1
Master,42315,12-07-2022,90,68,17,80,17,11,80,3,1,4,4,3,0,-1,0,0,0,0,Male,12,Online,39,273,Together,1
2n Cycle,67506,02-01-2023,73,91,40,67,33,36,67,1,4,1,6,3,0,-1,0,0,0,0,Other,12,Not Provided,37,334,Single,1
Master,61331,10-03-2022,42,535,7,47,0,5,41,5,11,1,6,8,0,-1,0,0,0,0,Other,23,Mobile,36,635,Single,2
Master,43776,03-02-2022,9,178,4,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,Male,17,Mobile,39,278,Together,2
Master,70091,31-03-2022,11,965,36,137,15,0,11,2,5,2,10,8,0,0,0,0,0,0,Female,19,Mobile,31,1164,Married,1
Master,57288,25-06-2023,27,528,2,21,0,0,60,3,8,1,8,6,0,0,0,0,0,0,Other,20,Not Provided,39,611,Together,1
Master,62513,09-09-2022,16,521,44,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,Female,22,Cash,36,719,Together,1
2n Cycle,41039,25-07-2022,32,35,13,137,179,61,45,1,8,1,5,8,0,-1,0,0,0,0,Female,15,Mobile,36,470,Together,0
2n Cycle,23616,17-11-2021,76,5,24,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,Other,8,Mobile,46,82,Single,1
Graduation,33622,13-04-2022,22,40,3,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,Other,9,Card,39,84,Married,2
Graduation,65169,14-01-2023,23,1075,2,69,0,0,46,1,10,4,13,6,1,-1,1,1,1,0,Female,28,Card,37,1192,Married,0
PhD,79632,08-04-2023,42,472,2,510,99,21,12,1,6,4,9,2,0,0,0,0,0,0,Other,20,Not Provided,44,1116,Together,0
Graduation,86358,08-08-2021,78,958,49,494,82,47,95,4,5,3,6,8,0,-1,0,0,0,0,Female,18,Online,38,1725,Single,2
Master,59247,08-11-2022,87,328,11,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,Other,21,Mobile,45,577,Single,2
Graduation,68118,18-10-2022,51,596,25,123,10,23,154,2,8,9,4,6,0,-1,0,0,0,0,Other,23,Mobile,34,931,Divorced,1
PhD,78128,19-02-2023,89,935,26,230,16,24,36,2,8,4,6,3,0,-1,0,0,0,0,Female,20,Card,42,1267,Married,1
PhD,28440,07-07-2022,87,39,3,24,0,0,0,1,2,0,3,8,0,-1,0,0,0,0,Female,6,Online,39,66,Together,1
PhD,83443,31-12-2022,89,519,44,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,Female,22,Mobile,40,1500,Together,0
Master,31160,16-09-2022,59,17,5,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,Female,7,Not Provided,32,67,Single,1
Graduation,89891,15-04-2022,17,413,24,132,59,28,183,1,11,6,8,4,0,-1,0,0,0,0,Female,26,Cash,40,839,Together,0
PhD,64108,23-03-2022,8,949,12,86,13,21,21,4,6,9,11,5,0,-1,0,0,0,0,Other,30,Mobile,37,1102,Single,1
PhD,82170,25-11-2022,13,1024,95,651,49,55,37,1,5,6,7,2,0,-1,0,0,0,0,Female,19,Not Provided,43,1911,Married,0
Graduation,72190,13-02-2022,79,598,168,597,172,166,249,1,5,6,4,3,0,-1,0,0,0,0,Female,16,Mobile,27,1950,Married,0
Graduation,65486,12-05-2023,29,246,21,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,Other,17,Cash,42,510,Widow,1
Graduation,72905,21-01-2023,52,408,116,445,181,165,203,1,3,7,9,1,0,0,0,1,0,0,Male,20,Card,45,1518,Married,0
PhD,75865,31-03-2023,73,484,2,591,156,0,12,1,3,5,10,1,0,-1,0,0,0,0,Female,19,Card,43,1245,Married,0
Graduation,58025,26-11-2022,81,271,33,88,11,48,22,3,3,2,10,4,0,0,0,0,0,0,Male,18,Card,34,473,Married,1
2n Cycle,52513,04-09-2021,84,368,19,241,104,188,232,2,9,5,9,7,0,-1,0,0,0,0,Male,25,Online,36,1152,Together,0
PhD,84117,11-05-2023,60,612,78,749,59,45,26,1,7,10,6,2,0,-1,0,0,0,0,Other,24,Card,50,1569,Married,0
Graduation,40049,29-11-2021,61,92,67,52,10,44,28,3,3,2,6,5,0,-1,0,0,0,0,Male,14,Online,42,293,Married,1
Graduation,25293,15-09-2022,51,16,2,11,0,2,9,1,1,1,2,8,0,0,0,0,0,0,Female,5,Cash,37,40,Married,1
2n Cycle,47821,20-10-2022,54,10,2,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,Other,5,Online,37,50,Together,2
Graduation,38415,02-01-2022,91,23,3,13,4,0,4,2,1,0,3,7,0,-1,0,0,0,0,Male,6,Card,38,47,Married,2
Graduation,31353,29-12-2022,24,11,2,10,3,1,7,2,1,1,2,8,0,-1,0,0,0,0,Female,6,Online,33,34,Married,2
PhD,67546,31-08-2021,90,865,136,768,150,38,172,1,4,10,5,3,0,-1,0,0,0,0,Female,20,Online,34,2129,Married,0
2n Cycle,35684,22-04-2023,66,11,6,7,0,6,3,1,1,0,3,6,0,-1,0,0,0,0,Other,5,Online,33,33,Married,1
Master,34053,10-09-2021,14,64,2,21,7,0,12,1,3,0,3,8,0,0,0,0,0,0,Other,7,Cash,38,106,Together,1
Master,22944,23-12-2022,67,20,5,19,4,5,26,3,3,0,3,7,0,-1,0,0,0,0,Female,9,Mobile,31,79,Single,1
Master,53204,20-03-2023,40,30,2,8,2,0,6,1,1,0,3,4,0,-1,0,0,0,0,Male,5,Not Provided,39,48,Married,2
Graduation,86718,17-01-2022,20,345,191,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,Male,17,Mobile,31,1273,Married,0
Graduation,52413,03-11-2021,67,186,10,133,56,56,12,2,7,1,7,7,0,-1,0,0,0,0,Male,17,Mobile,33,453,Single,1
Basic,15253,28-10-2022,13,2,5,3,8,1,13,2,1,0,3,7,0,-1,0,0,0,0,Male,6,Mobile,35,32,Single,1
Graduation,71128,06-10-2021,80,959,161,447,20,0,31,3,2,10,12,7,0,0,0,0,0,0,Female,27,Card,33,1618,Divorced,1
Graduation,21359,20-04-2022,1,13,4,17,6,1,10,2,2,0,3,8,0,0,0,0,0,0,Female,7,Cash,35,51,Single,1
PhD,62981,17-03-2022,21,797,16,590,38,44,0,1,4,5,13,3,0,0,0,0,0,0,Other,23,Mobile,29,1485,Together,0
Basic,28249,15-06-2023,80,2,11,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,Female,6,Cash,36,46,Married,0
2n Cycle,76800,08-03-2023,33,174,28,255,35,71,81,1,4,4,7,1,0,0,0,0,0,0,Female,16,Cash,35,644,Married,0
Graduation,24434,18-05-2023,9,4,4,8,20,0,17,2,2,1,2,7,0,-1,0,0,0,0,Male,7,Card,44,53,Married,2
Master,63841,21-04-2022,64,636,17,100,20,7,131,1,9,3,9,6,0,-1,0,0,0,0,Male,22,Cash,29,911,Divorced,1
Master,80739,23-05-2022,92,675,94,736,39,0,92,1,3,11,9,1,0,0,0,0,0,0,Male,24,Card,44,1636,Married,0
Master,50943,21-06-2022,49,32,2,7,2,0,6,1,1,0,3,5,0,-1,0,0,0,0,Female,5,Not Provided,30,49,Together,1
PhD,53593,07-08-2021,60,350,6,78,6,0,43,8,7,2,6,8,0,-1,0,0,0,0,Female,23,Cash,32,483,Together,2
Graduation,59111,02-05-2022,90,525,2,134,28,28,155,1,11,1,8,7,0,-1,0,0,0,0,Male,21,Card,37,872,Married,0
2n Cycle,39548,31-03-2023,87,16,6,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,Male,7,Not Provided,42,57,Single,2
Graduation,73803,01-08-2021,61,834,82,363,52,26,174,2,9,5,6,6,1,-1,0,0,0,0,Female,22,Card,41,1531,Married,1
Master,75251,27-08-2021,34,722,113,925,97,18,18,1,7,6,5,5,0,-1,0,0,0,0,Other,19,Mobile,32,1893,Married,0
Graduation,36997,01-02-2022,72,44,6,12,8,0,27,5,2,1,4,5,0,0,0,0,0,0,Female,12,Card,32,97,Divorced,2
PhD,27238,20-04-2022,39,38,2,17,0,0,3,3,3,0,3,9,0,0,0,0,0,0,Male,9,Mobile,31,60,Single,2
2n Cycle,49118,18-08-2021,90,621,56,239,99,98,119,2,9,7,10,7,0,-1,1,0,1,0,Female,28,Cash,31,1232,Divorced,0
Graduation,65148,16-11-2021,9,461,37,422,33,12,153,2,6,6,7,4,0,-1,0,0,0,0,Female,21,Online,39,1118,Married,1
2n Cycle,15315,03-08-2022,27,8,6,13,15,8,17,2,2,0,4,5,0,-1,0,0,0,0,Female,8,Online,39,67,Married,0
PhD,43269,16-09-2022,61,11,3,7,0,0,1,1,1,0,2,8,0,0,0,0,0,0,Male,4,Not Provided,30,22,Married,1
Master,66000,20-04-2023,36,245,53,270,101,0,45,1,1,3,5,1,0,0,0,0,0,0,Other,10,Online,29,714,Together,0
2n Cycle,51250,30-03-2022,28,343,34,230,34,32,40,5,10,5,4,9,1,-1,0,0,0,0,Female,24,Mobile,40,713,Single,1
2n Cycle,49514,17-12-2022,61,89,41,78,58,13,93,2,6,1,4,7,0,0,0,0,0,0,Other,13,Not Provided,39,372,Single,1
Graduation,57959,02-05-2022,71,431,18,322,43,24,33,5,4,7,11,3,0,-1,0,0,0,0,Male,27,Online,40,871,Single,1
Master,73454,01-03-2023,95,983,75,351,56,14,175,1,2,4,6,5,1,1,0,0,0,0,Other,13,Cash,35,1654,Single,0
Graduation,80398,10-11-2021,92,343,53,936,207,35,26,1,5,8,12,3,0,-1,0,0,0,0,Female,26,Cash,36,1600,Married,0
PhD,47025,09-02-2023,6,17,2,3,0,0,1,1,1,0,2,7,0,-1,0,0,0,0,Female,4,Not Provided,37,23,Divorced,2
Graduation,53359,27-05-2022,4,174,6,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,Female,14,Card,37,260,Married,2
Graduation,25293,15-09-2022,51,16,2,11,0,2,9,1,1,1,2,8,0,0,0,0,0,0,Female,5,Mobile,44,40,Married,1
Graduation,44359,17-06-2023,19,21,2,14,7,3,1,3,2,0,4,3,0,0,0,0,0,0,Other,9,Not Provided,39,48,Married,2
Master,14661,01-01-2022,88,5,3,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,Other,5,Online,38,29,Together,0
Master,58494,12-12-2022,56,299,9,68,4,0,19,2,6,2,6,6,0,-1,0,0,0,0,Female,16,Mobile,44,399,Married,1
PhD,16269,30-08-2022,75,20,5,18,3,1,0,3,3,0,3,8,0,0,0,0,0,0,Male,9,Not Provided,37,47,Single,1
2n Cycle,46891,01-09-2022,91,44,14,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,Female,8,Card,32,186,Married,1
Master,82384,19-11-2021,55,985,53,432,180,120,190,1,3,10,13,1,0,0,0,0,0,0,Male,27,Card,36,1960,Together,0
Graduation,50725,13-02-2022,45,444,12,75,0,10,48,4,8,1,8,8,0,-1,0,0,0,0,Other,21,Not Provided,40,589,Married,1
Graduation,58350,04-01-2022,5,494,28,206,116,80,80,4,8,3,12,6,0,-1,0,0,0,0,Female,27,Cash,36,1004,Single,1
Graduation,101970,12-03-2022,69,723,29,102,44,72,168,0,6,8,13,2,0,-1,0,1,0,0,Male,27,Card,39,1138,Single,0
Graduation,18690,28-12-2021,77,7,3,7,23,4,19,1,1,1,2,8,0,-1,0,0,0,0,Other,5,Not Provided,32,63,Married,0
Graduation,17345,03-11-2021,79,5,11,16,17,0,12,2,2,1,2,8,0,-1,0,0,0,0,Female,7,Online,34,61,Married,1
Graduation,64849,13-11-2021,42,653,50,350,94,84,108,1,9,3,6,5,0,0,0,0,0,0,Female,19,Cash,44,1339,Single,0
Graduation,82657,27-09-2022,71,967,170,672,246,105,126,1,7,5,10,4,0,-1,0,1,0,0,Male,23,Online,37,2286,Together,0
Master,7500,02-10-2022,19,4,3,10,3,2,12,3,2,0,3,5,0,-1,0,0,0,0,Female,8,Mobile,38,34,Married,1
Graduation,16626,15-01-2023,76,9,5,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,Other,9,Not Provided,39,71,Together,2
PhD,61905,04-02-2023,2,168,2,43,6,2,13,2,4,2,4,5,0,-1,0,0,0,0,Male,12,Mobile,27,234,Together,1
PhD,66582,03-03-2023,83,790,27,420,16,38,0,1,2,8,9,1,0,-1,0,0,0,0,Male,20,Mobile,39,1291,Single,0
PhD,60491,06-09-2022,81,638,49,237,12,19,76,4,6,11,7,5,0,-1,0,0,0,0,Male,28,Mobile,37,1031,Married,1
PhD,30351,06-06-2022,19,15,2,24,3,3,2,1,3,0,2,9,0,-1,0,0,0,0,Female,6,Cash,34,49,Together,1
PhD,46681,08-10-2022,52,270,17,69,15,19,38,2,4,6,4,5,0,-1,0,0,0,0,Male,16,Mobile,39,428,Together,2
Graduation,22775,19-06-2022,40,6,3,8,0,0,1,1,1,0,2,8,0,0,0,0,0,0,Other,4,Not Provided,37,18,Together,1
Graduation,46310,03-12-2021,99,186,4,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,Other,14,Cash,32,312,Divorced,1
Graduation,30279,30-12-2021,13,11,6,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,Male,5,Not Provided,34,40,Single,1
Graduation,53187,26-10-2022,66,212,4,30,7,7,10,2,4,1,6,5,0,-1,0,0,0,0,Male,13,Online,31,270,Together,1
2n Cycle,23830,07-02-2023,3,2,10,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,Male,5,Cash,43,46,Single,0
Master,36143,30-03-2023,33,13,2,1,0,0,6,1,0,1,2,3,0,-1,0,0,0,0,Female,4,Card,40,22,Single,1
Graduation,18929,16-02-2022,15,33,2,8,23,4,18,1,1,0,4,6,0,-1,0,0,0,0,Female,6,Online,44,88,Married,0
Graduation,44392,05-09-2022,71,88,7,71,7,12,29,5,4,1,4,7,0,-1,0,0,0,0,Female,14,Online,34,214,Together,2
PhD,48948,01-02-2022,53,438,10,206,160,49,42,2,7,10,5,6,1,-1,0,0,0,0,Female,24,Cash,40,905,Divorced,0
Basic,14421,17-02-2023,81,1,2,2,3,3,8,1,1,0,2,5,1,1,0,0,0,0,Male,4,Cash,38,19,Married,0
Graduation,54809,11-09-2022,0,64,8,57,13,13,22,4,2,1,5,4,0,-1,0,0,0,0,Female,12,Online,34,177,Married,2
Graduation,74985,11-09-2021,8,588,53,898,247,0,86,1,3,6,7,2,0,-1,0,0,0,0,Female,17,Mobile,46,1872,Married,0
Graduation,77353,16-12-2022,38,276,61,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,Other,20,Cash,25,673,Married,1
Graduation,19656,08-02-2022,94,26,6,9,6,8,32,3,2,1,3,7,0,-1,0,0,0,0,Other,9,Online,46,87,Together,1
PhD,85696,03-05-2022,88,715,78,395,116,0,12,1,4,6,9,1,0,-1,0,0,0,0,Female,20,Online,46,1316,Divorced,0
Graduation,33235,05-02-2023,71,46,2,16,2,1,6,1,3,0,3,7,0,-1,0,0,0,0,Other,7,Not Provided,42,73,Together,1
Basic,15056,03-05-2022,76,7,14,3,21,6,40,5,2,2,3,5,0,-1,0,0,0,0,Male,12,Card,38,91,Single,2
Graduation,34176,12-05-2023,12,6,9,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,Other,11,Card,37,92,Single,1
Graduation,41443,01-04-2023,79,172,9,171,25,19,89,6,8,1,5,8,0,-1,0,0,0,0,Other,20,Card,31,485,Married,1
Master,37368,16-12-2022,4,4,4,11,2,2,10,1,1,0,2,6,1,1,0,0,0,0,Female,4,Cash,35,33,Married,1
Master,19510,04-09-2022,63,10,2,7,3,4,7,2,1,0,3,7,0,-1,0,0,0,0,Female,6,Mobile,42,33,Married,2
PhD,69759,28-10-2022,38,453,22,514,13,30,0,3,4,6,5,3,0,-1,0,0,0,0,Other,18,Online,39,1032,Single,0
Master,57420,25-06-2022,22,281,2,18,0,0,24,3,5,1,6,7,0,-1,0,0,0,0,Female,15,Card,32,325,Together,1
PhD,87171,01-05-2022,27,1002,46,107,58,44,44,1,6,7,11,2,1,-1,0,0,0,0,Other,25,Card,46,1301,Married,0
Master,27161,28-10-2022,41,8,6,23,7,0,11,1,1,0,3,7,0,-1,0,0,0,0,Male,5,Mobile,36,55,Married,1
Master,72217,10-04-2022,93,817,44,450,55,56,154,1,3,10,8,2,0,-1,0,0,0,0,Male,22,Online,35,1576,Single,0
Graduation,55267,21-10-2022,28,162,30,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,Female,17,Online,41,408,Married,1
Master,30538,01-10-2021,27,285,2,52,8,3,20,4,9,0,4,10,0,-1,0,0,0,0,Other,17,Cash,34,370,Together,1
Graduation,38946,24-10-2022,84,117,8,82,6,6,41,2,3,1,6,5,0,-1,0,0,0,0,Male,12,Mobile,40,260,Together,1
